index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-22-20:23:39,100,-84,-69,100,-91,100,-96,-81,-78,100,100,100,100,-94,100,100,-88,-67,100,100,100,100,100,100,100
1,2022-07-22-20:23:44,100,-74,-72,100,-86,100,100,-87,-66,100,100,100,100,-82,100,100,-74,-69,100,100,100,100,100,100,100
2,2022-07-22-20:23:49,100,-73,-75,100,-85,100,100,100,-66,100,100,100,100,-74,100,100,-86,-68,100,100,100,100,100,100,100
3,2022-07-22-20:23:54,100,-74,-61,100,-84,100,-93,-82,-66,100,100,100,100,-76,100,100,-73,-76,100,100,100,100,100,100,100
4,2022-07-22-20:23:59,100,-74,-76,100,-84,100,-97,-81,-69,100,100,100,100,-82,100,100,-86,-69,100,100,100,100,100,100,100
5,2022-07-22-20:24:04,100,-73,-76,100,-84,100,-94,-82,-66,100,100,100,100,-74,100,100,-89,-69,100,100,100,100,100,100,100
6,2022-07-22-20:24:09,100,-74,-66,100,-80,100,100,-81,-66,100,100,100,100,-76,-98,100,-93,-76,100,100,100,100,100,100,100
7,2022-07-22-20:24:14,100,-74,-61,100,-84,100,-95,-87,-66,100,100,100,100,-76,100,100,-93,-69,100,100,100,100,100,100,100
8,2022-07-22-20:24:19,100,-74,-76,100,-84,100,100,-87,-69,100,100,100,100,-74,100,100,100,-69,100,100,100,100,100,100,100
9,2022-07-22-20:24:24,100,-74,-61,100,-95,100,-94,-87,-65,100,100,100,100,-82,100,100,-86,-73,100,100,100,100,100,100,100
10,2022-07-22-20:24:29,100,-74,-61,100,-84,100,100,-82,-69,100,100,100,100,-76,100,100,-73,-76,100,100,100,100,100,100,100
11,2022-07-22-20:24:34,100,-73,-66,100,-85,100,-96,-86,-69,100,100,100,100,-76,100,100,100,-73,100,100,100,100,100,100,100
12,2022-07-22-20:24:39,100,-74,-61,100,-82,100,-94,-82,-69,100,100,100,100,-82,100,100,-86,-73,100,100,100,100,100,100,100
13,2022-07-22-20:24:44,100,-73,-66,100,-85,100,100,-82,-66,100,100,100,100,-82,100,100,-73,-73,100,100,100,100,100,100,100
14,2022-07-22-20:24:49,100,-74,-61,100,-84,100,100,-82,-66,100,100,100,100,-82,100,100,-86,-73,100,100,100,100,100,100,100
15,2022-07-22-20:24:54,100,-74,-76,100,-85,100,-96,-82,-69,100,100,100,100,-76,100,100,-86,-69,100,100,100,100,100,100,100
16,2022-07-22-20:24:59,100,-73,-76,100,-85,100,-95,-87,-69,100,100,100,100,-82,100,100,-86,-76,100,100,100,100,100,100,100
17,2022-07-22-20:25:04,100,-74,-61,100,-85,100,-94,-82,-66,100,100,100,100,-74,100,100,-73,-77,100,100,100,100,100,100,100
18,2022-07-22-20:25:09,100,-74,-61,100,-85,100,-96,-82,-65,100,100,100,100,-76,-99,100,100,-73,100,100,100,100,100,100,100
19,2022-07-22-20:25:14,100,-74,-61,100,-85,100,100,-82,-65,100,100,100,100,-82,100,100,-73,-73,100,100,100,100,100,100,100
20,2022-07-22-20:25:19,100,-74,-61,100,-84,100,-95,-81,-69,100,100,100,100,-74,100,100,-73,-69,100,100,100,100,100,100,100
21,2022-07-22-20:25:24,100,-73,-66,100,-83,100,-95,-86,-69,100,100,100,100,-74,100,100,-73,-73,100,100,100,100,100,100,100
22,2022-07-22-20:25:29,100,-74,-76,100,-84,100,100,-87,-69,100,100,100,100,-74,-99,100,-93,-69,100,100,100,100,100,100,100
23,2022-07-22-20:25:34,100,-73,-66,100,-84,100,-96,-87,-66,100,100,100,100,-76,100,100,-86,-77,100,100,100,100,100,100,100
24,2022-07-22-20:25:39,100,-74,-61,100,-96,100,-95,-87,-65,100,100,100,100,-82,100,100,-93,-69,100,100,100,100,100,100,100
25,2022-07-22-20:25:44,100,-74,-66,100,-85,100,100,-87,-65,100,100,100,100,-76,100,100,-73,-77,100,100,100,100,100,100,100
26,2022-07-22-20:25:49,100,-74,-61,100,-96,100,100,-87,-65,100,100,100,100,-82,100,100,-93,-69,100,100,100,100,100,100,100
27,2022-07-22-20:25:54,100,-73,-61,100,-84,100,100,-82,-69,100,100,100,100,-74,100,100,-73,-77,100,100,100,100,100,100,100
28,2022-07-22-20:25:59,100,-73,-66,100,-85,100,100,-81,-66,100,100,100,100,-82,-98,100,-86,-77,100,100,100,100,100,100,100
29,2022-07-22-20:26:04,100,-74,-61,100,-85,100,-94,-82,-66,100,100,100,100,-74,100,100,-86,-73,100,100,100,100,100,100,100
30,2022-07-22-20:26:09,100,-73,-76,100,-84,100,100,-82,-66,100,100,100,100,-76,100,100,-73,-69,100,100,100,100,100,100,100
31,2022-07-22-20:26:14,100,-74,-76,100,-84,100,-94,-86,-65,100,100,100,100,-82,100,100,-94,-73,100,100,100,100,100,100,100
32,2022-07-22-20:26:19,100,-73,-76,100,-83,100,100,-82,-69,100,100,100,100,-76,100,100,-73,-76,100,100,100,100,100,100,100
33,2022-07-22-20:26:24,100,-74,-76,100,-83,100,-96,-81,-69,100,100,100,100,-82,100,100,-73,-73,100,100,100,100,100,100,100
34,2022-07-22-20:26:29,100,-74,-76,100,-83,100,-95,-86,-69,100,100,100,100,-82,-98,100,-93,-73,100,100,100,100,100,100,100
35,2022-07-22-20:26:34,100,-74,-76,100,-85,100,-95,-87,-66,100,100,100,100,-76,100,100,-73,-73,100,100,100,100,100,100,100
