index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-22-14:47:14,100,-95,100,100,-80,100,-92,-84,-66,100,100,100,100,-88,100,100,-82,-70,100,100,100,-96,100,-91,100
1,2022-07-22-14:47:19,100,-84,100,100,-91,100,-95,-87,-67,100,100,100,100,-94,100,100,-85,-84,100,100,100,100,100,100,100
2,2022-07-22-14:47:24,100,-77,100,100,-88,100,-83,-84,-57,100,100,100,100,-90,100,100,-76,-61,100,100,100,100,100,-96,100
3,2022-07-22-14:47:29,100,-84,100,100,-89,100,-91,-91,-68,100,100,100,100,100,100,100,100,-78,100,100,100,100,100,100,100
4,2022-07-22-14:47:34,100,-78,100,100,-90,100,-84,-85,-56,100,100,100,100,-91,100,100,-74,-66,100,100,100,100,100,-96,100
5,2022-07-22-14:47:39,100,-78,100,100,-77,100,-92,-84,-58,100,100,100,100,-91,100,100,-78,-71,100,100,100,100,100,100,100
6,2022-07-22-14:47:44,100,-84,100,100,-90,100,-89,-89,-67,100,100,100,100,-94,100,100,-83,-78,100,100,100,100,100,-94,100
7,2022-07-22-14:47:49,100,-87,100,100,-89,100,100,-84,-67,100,100,100,100,100,100,100,100,-69,100,100,100,100,100,100,100
8,2022-07-22-14:47:54,100,-83,100,100,-92,100,-90,-86,-68,100,100,100,100,-89,100,100,-83,-81,100,100,100,100,100,100,100
9,2022-07-22-14:47:59,100,-77,100,100,-91,100,-85,-87,-57,100,100,100,100,-90,100,100,-74,-63,100,100,100,100,100,100,100
10,2022-07-22-14:48:04,100,-89,100,100,-77,100,-85,-84,-58,100,100,100,100,-90,100,100,-82,-68,100,100,100,100,100,100,100
11,2022-07-22-14:48:09,100,100,100,100,-77,100,100,-84,-58,100,100,100,100,100,100,100,100,-68,100,100,100,100,100,100,100
12,2022-07-22-14:48:14,100,-77,100,100,-77,100,-86,-84,-58,100,100,100,100,-91,100,100,100,-68,100,100,100,100,100,100,100
13,2022-07-22-14:48:19,100,-84,100,100,-90,100,-91,-88,-67,100,100,100,100,-98,100,100,-83,-80,100,100,100,100,100,-96,100
14,2022-07-22-14:48:24,100,-78,100,100,-91,100,-86,-87,-57,100,100,100,100,-91,100,100,-75,-63,100,100,100,100,100,-96,100
15,2022-07-22-14:48:29,100,-78,100,100,-89,100,100,-87,-57,100,100,100,100,-92,100,100,-74,-63,100,100,100,100,100,100,100
16,2022-07-22-14:48:34,100,-84,100,100,-89,100,-90,-87,-67,100,100,100,100,-97,100,100,-74,-81,100,100,100,100,100,-97,100
17,2022-07-22-14:48:39,100,-90,100,100,-77,100,-85,-84,-58,100,100,100,100,-91,100,100,-74,-68,100,100,100,100,100,100,100
18,2022-07-22-14:48:44,100,-84,100,100,-89,100,-92,-89,-67,100,100,100,100,-90,100,100,-83,-80,100,100,100,100,100,-96,100
19,2022-07-22-14:48:49,100,-84,100,100,-88,100,-91,-89,-67,100,100,100,100,-97,100,100,100,-81,100,100,100,100,100,-97,100
20,2022-07-22-14:48:54,100,-90,100,100,-77,100,100,-84,-58,100,100,100,100,-89,100,100,-81,-68,100,100,100,100,100,100,100
21,2022-07-22-14:48:59,100,-78,100,100,-91,100,-91,-88,-57,100,100,100,100,-98,100,100,-83,-81,100,100,100,100,100,100,100
22,2022-07-22-14:49:04,100,-91,100,100,-77,100,-86,-84,-58,100,100,100,100,-91,100,100,-81,-68,100,100,100,100,100,100,100
23,2022-07-22-14:49:09,100,100,100,100,-77,100,100,-84,-58,100,100,100,100,100,100,100,-81,-68,100,100,100,100,100,100,100
24,2022-07-22-14:49:14,100,-78,100,100,-90,100,-86,-88,-57,100,100,100,100,-91,100,100,-74,-63,100,100,100,100,100,100,100
25,2022-07-22-14:49:19,100,-90,100,100,-89,100,-86,-84,-58,100,100,100,100,-90,100,100,-82,-81,100,100,100,100,100,-96,100
26,2022-07-22-14:49:24,100,-78,100,100,-89,100,-92,100,-67,100,100,100,100,-91,100,100,-74,-63,100,100,100,100,100,-98,100
27,2022-07-22-14:49:29,100,-77,100,100,-90,100,-86,-87,100,100,100,100,100,-91,100,100,-75,-63,100,100,100,100,100,100,100
28,2022-07-22-14:49:34,100,-84,100,100,-90,100,-90,-88,-67,100,100,100,100,100,100,100,-83,-81,100,100,100,100,100,-98,100
29,2022-07-22-14:49:39,100,-77,100,100,-89,100,-86,-87,-56,100,100,100,100,-92,100,100,-75,-63,100,100,100,100,100,-96,100
30,2022-07-22-14:49:44,100,-84,100,100,-88,100,-90,-84,-67,100,100,100,100,-90,100,100,-81,-68,100,100,100,100,100,100,100
31,2022-07-22-14:49:49,100,-84,100,100,-89,100,-91,100,-68,100,100,100,100,-97,100,100,-83,-81,100,100,100,100,100,-96,100
32,2022-07-22-14:49:54,100,-90,100,100,-77,100,100,-84,-58,100,100,100,100,-90,100,100,100,-68,100,100,100,100,100,100,100
33,2022-07-22-14:49:59,100,-84,100,100,-89,100,-90,-89,-67,100,100,100,100,100,100,100,-83,-81,100,100,100,100,100,-96,100
34,2022-07-22-14:50:04,100,-78,100,100,-77,100,-86,-87,-58,100,100,100,100,-90,100,100,-74,-63,100,100,100,100,100,100,100
35,2022-07-22-14:50:09,100,-91,100,100,-77,100,100,-84,-58,100,100,100,100,-91,100,100,-82,-68,100,100,100,100,100,100,100
36,2022-07-22-14:50:14,100,-77,100,100,-90,100,-86,-87,-57,100,100,100,100,-92,100,100,-74,-63,100,100,100,100,100,100,100
37,2022-07-22-14:50:19,100,-90,100,100,-77,100,100,-84,-58,100,100,100,100,-90,100,100,-82,-68,100,100,100,100,100,100,100
38,2022-07-22-14:50:24,100,-84,100,100,-89,100,-90,-89,-67,100,100,100,100,-96,100,100,-82,-80,100,100,100,100,100,-99,100
39,2022-07-22-14:50:29,100,-78,100,100,-91,100,-86,-86,-57,100,-101,100,100,-91,100,100,-75,-63,100,100,100,100,100,-95,100
40,2022-07-22-14:50:34,100,-84,100,100,-88,100,-90,-88,-67,100,100,100,100,100,100,100,-83,100,100,100,100,100,100,-97,100
41,2022-07-22-14:50:39,100,-78,100,100,-91,100,-86,-87,-57,100,-98,100,100,-92,100,100,-75,-81,100,100,100,100,100,-100,100
42,2022-07-22-14:50:44,100,-89,100,100,-77,100,-86,-84,-58,100,100,100,100,-91,100,100,-82,-68,100,100,100,100,100,100,100
43,2022-07-22-14:50:49,100,-83,100,100,-89,100,-90,-88,-67,100,100,100,100,100,100,100,-83,-81,100,100,100,100,100,-95,100
44,2022-07-22-14:50:54,100,-90,100,100,-77,100,100,-84,-58,100,100,100,100,-90,100,100,-82,-68,100,100,100,100,100,100,100
45,2022-07-22-14:50:59,100,-84,100,100,-89,100,-90,-88,-67,100,100,100,100,-96,100,100,-83,-80,100,100,100,100,100,-98,100
46,2022-07-22-14:51:04,100,-77,100,100,-90,100,-86,-87,-57,100,100,100,100,-91,100,100,-74,-63,100,100,100,100,100,-97,100
47,2022-07-22-14:51:09,100,-89,100,100,-77,100,-86,-84,-58,100,100,100,100,-91,100,100,-82,-68,100,100,100,100,100,100,100
48,2022-07-22-14:51:14,100,-78,100,100,100,100,100,-87,-58,100,100,100,100,100,100,100,-74,-63,100,100,100,100,100,100,100
49,2022-07-22-14:51:19,100,-91,100,100,-77,100,-86,-84,-58,100,100,100,100,-90,100,100,-81,-68,100,100,100,100,100,100,100
50,2022-07-22-14:51:24,100,-83,100,100,-89,100,-90,-88,-67,100,100,100,100,100,100,100,-83,-81,100,100,100,100,100,100,100
51,2022-07-22-14:51:29,100,-83,100,100,-90,100,-85,-87,-57,100,100,100,100,-91,100,100,-74,-63,100,100,100,100,100,100,100
52,2022-07-22-14:51:34,100,-78,100,100,100,100,-86,-89,-57,100,100,100,100,-92,100,100,-74,-63,100,100,100,100,100,100,100
53,2022-07-22-14:51:39,100,-84,100,100,-88,100,-90,-87,-57,100,100,100,100,-96,100,100,-83,-63,100,100,100,100,100,-97,100
54,2022-07-22-14:51:44,100,-90,100,100,-77,100,-90,-87,-58,100,100,100,100,-90,100,100,-81,-68,100,100,100,100,100,100,100
55,2022-07-22-14:51:49,100,-84,100,100,-89,100,-86,-88,-67,100,100,100,100,-100,100,100,-82,-76,100,100,100,100,100,-98,100
56,2022-07-22-14:51:54,100,100,100,100,100,100,-94,-88,-67,100,100,100,100,-95,100,100,-81,-78,100,100,100,100,100,-97,100
57,2022-07-22-14:51:59,100,-85,100,100,-89,100,100,-84,-67,100,100,100,100,-90,100,100,-82,-68,100,100,100,100,100,100,100
58,2022-07-22-14:52:04,100,-78,100,100,-91,100,-90,-87,-57,100,100,100,100,100,100,100,-75,-63,100,100,100,100,100,-97,100
59,2022-07-22-14:52:09,100,-90,100,100,-77,100,-86,-84,-58,100,100,100,100,-90,100,100,-82,-68,100,100,100,100,100,100,100
