index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-85.6
0,2022-07-23-14:26:46,-86,-77,100,100,-87,-67,100,100,-96,100,100,100,-79,-89,-94,100,-81,-90,100,100,100,100,100,100,-69,-80,,
1,2022-07-23-14:26:51,-93,-68,100,100,100,-70,100,100,-88,100,100,100,-79,-85,-87,100,-77,-89,100,100,100,100,100,100,-65,-81,,
2,2022-07-23-14:26:56,-80,-69,100,100,100,-70,100,100,100,100,100,100,-79,-80,-88,100,-87,-87,100,100,100,100,100,100,-66,-82,,
3,2022-07-23-14:27:01,-88,-67,100,100,100,-69,100,100,100,100,100,100,-85,-78,-88,100,-79,-86,100,100,100,100,100,100,-66,-83,,
4,2022-07-23-14:27:06,-87,-68,100,100,-89,-71,100,100,-91,100,100,100,-85,-89,-87,100,-77,-86,100,100,100,100,100,100,-58,-84,,
5,2022-07-23-14:27:11,-80,-68,100,100,-89,-72,100,100,100,100,100,100,-80,-78,-87,100,-77,-86,100,100,100,100,100,100,-62,-79,,
6,2022-07-23-14:27:16,-88,-74,100,100,-89,-70,100,100,-91,100,100,100,-85,100,-87,100,-78,-86,100,100,100,100,100,100,-66,-82,,
7,2022-07-23-14:27:21,-88,-67,100,100,-96,-71,100,100,-90,100,100,100,-85,-89,-89,100,-77,-87,100,100,100,100,100,100,-66,-86,,
8,2022-07-23-14:27:26,-80,-68,100,100,-89,-72,100,100,100,100,100,100,-79,-78,-88,100,-78,100,100,100,100,100,100,100,-66,-79,,
9,2022-07-23-14:27:31,-81,-68,100,100,-94,-69,100,100,-96,100,100,100,-82,-93,-87,100,-77,-86,100,100,100,100,100,100,-66,-79,,
10,2022-07-23-14:27:36,-88,-74,100,100,-95,-71,100,100,100,100,100,100,-83,-79,-88,100,-89,100,100,100,100,100,100,100,-66,-85,,
11,2022-07-23-14:27:41,-80,-67,100,100,-89,-71,100,100,100,100,100,100,-89,-82,-88,100,-77,100,100,100,100,100,100,100,-62,-79,,
12,2022-07-23-14:27:46,-88,-67,100,100,-96,-72,100,100,100,100,100,100,-79,-90,-87,100,-89,-86,100,100,100,100,100,100,-66,-78,,
13,2022-07-23-14:27:51,-88,-68,100,100,-89,-69,100,100,100,100,100,100,-85,-89,-89,100,-79,-86,100,100,100,100,100,100,-58,-82,,
14,2022-07-23-14:27:56,100,-67,100,100,-88,-71,100,100,-96,100,100,100,-85,-89,-88,100,-77,-86,100,100,100,100,100,100,-62,-86,,
15,2022-07-23-14:28:01,-80,-68,100,100,-89,-72,100,100,100,100,100,100,-79,-78,-88,100,-77,-86,100,100,100,100,100,100,-66,-79,,
16,2022-07-23-14:28:06,-88,-74,100,100,-89,-69,100,100,100,100,100,100,-85,-89,-88,100,-79,-86,100,100,100,100,100,100,-66,-82,,
17,2022-07-23-14:28:11,-88,-67,100,100,-89,-69,100,100,100,100,100,100,-85,-89,-87,100,-78,-87,100,100,100,100,100,100,-67,-86,,
18,2022-07-23-14:28:16,-80,-67,100,100,-89,-71,100,100,100,100,100,100,-79,-78,-87,100,-89,-86,100,100,100,100,100,100,-58,-78,,
19,2022-07-23-14:28:21,-80,-74,100,100,-89,-69,100,100,-95,100,100,100,-85,-78,-87,100,-89,100,100,100,100,100,100,100,-62,-82,,
20,2022-07-23-14:28:26,-89,-67,100,100,-89,-71,100,100,-91,100,100,100,-83,-88,-87,100,-77,-87,100,100,100,100,100,100,-66,-86,,
21,2022-07-23-14:28:31,-80,-67,100,100,-89,-72,100,100,-96,100,100,100,-79,-78,-87,100,-89,-86,100,100,100,100,100,100,-58,-86,,
22,2022-07-23-14:28:36,-89,-69,100,100,-96,-69,100,100,-90,100,100,100,-85,-90,-87,100,-78,-86,100,100,100,100,100,100,-62,-77,,
23,2022-07-23-14:28:41,-88,-74,100,100,-89,-71,100,100,100,100,100,100,-84,-89,-88,100,-77,-86,100,100,100,100,100,100,-66,-82,,
24,2022-07-23-14:28:46,-80,-69,100,100,-96,-71,100,100,100,100,100,100,-85,-78,-89,100,-79,-86,100,100,100,100,100,100,-66,-82,,
25,2022-07-23-14:28:51,-88,-67,100,100,-89,-71,100,100,100,100,100,100,-85,-89,-88,100,-77,-87,100,100,100,100,100,100,-58,-86,,
26,2022-07-23-14:28:56,-88,-70,100,100,-93,-69,100,100,100,100,100,100,-85,-90,-88,100,-78,-86,100,100,100,100,100,100,-66,-79,,
27,2022-07-23-14:29:01,-88,-67,100,100,-96,-71,100,100,-96,100,100,100,-85,-89,-88,100,-89,-87,100,100,100,100,100,100,-66,-86,,
28,2022-07-23-14:29:06,-88,-67,100,100,-89,-71,100,100,-90,100,100,100,-80,-89,-88,100,-89,-86,100,100,100,100,100,100,-62,-86,,
29,2022-07-23-14:29:11,-89,-74,100,100,100,-69,100,100,-95,100,100,100,-85,-78,-88,100,-79,-86,100,100,100,100,100,100,-66,-82,,
30,2022-07-23-14:29:16,-88,-74,100,100,-89,-71,100,100,100,100,100,100,-85,-89,-88,100,-78,-86,100,100,100,100,100,100,-66,-82,,
31,2022-07-23-14:29:21,-88,-68,100,100,-89,-72,100,100,-91,100,100,100,-85,-89,-87,100,-77,-86,100,100,100,100,100,100,-62,-79,,
32,2022-07-23-14:29:26,-80,-67,100,100,-89,-69,100,100,-91,100,100,100,-85,-78,-88,100,-89,-86,100,100,100,100,100,100,-62,-82,,
33,2022-07-23-14:29:31,-89,-74,100,100,-88,-70,100,100,-96,100,100,100,-85,-78,-89,100,-79,-87,100,100,100,100,100,100,-66,-86,,
34,2022-07-23-14:29:36,-88,-67,100,100,-96,-71,100,100,-91,100,100,100,-79,-89,-87,100,-77,-86,100,100,100,100,100,100,-58,-85,,
35,2022-07-23-14:29:41,-88,-67,100,100,-89,-69,100,100,100,100,100,100,-85,-90,-87,100,-77,-87,100,100,100,100,100,100,-62,-78,,
36,2022-07-23-14:29:46,-80,-68,100,100,-89,-69,100,100,-91,100,100,100,-80,-90,-88,100,-77,-87,100,100,100,100,100,100,-62,-82,,
37,2022-07-23-14:29:51,-89,-67,100,100,100,-71,100,100,100,100,100,100,-85,-89,-93,100,-77,-87,100,100,100,100,100,100,-58,-85,,
38,2022-07-23-14:29:56,-89,-67,100,100,-89,-71,100,100,-96,100,100,100,-79,-78,-88,100,-89,-86,100,100,100,100,100,100,-62,-78,,
39,2022-07-23-14:30:01,-80,-68,100,100,-97,-69,100,100,-96,100,100,100,-85,-78,-88,100,-77,100,100,100,100,100,100,100,-62,-79,,
40,2022-07-23-14:30:06,-89,-67,100,100,-89,-71,100,100,100,100,100,100,-85,-78,-93,100,-77,-87,100,100,100,100,100,100,-58,-82,,
41,2022-07-23-14:30:11,-80,-68,100,100,-89,-71,100,100,100,100,100,100,-79,-78,-87,100,-79,-87,100,100,100,100,100,100,-62,-78,,
42,2022-07-23-14:30:16,-89,-74,100,100,-89,-72,100,100,100,100,100,100,-79,-90,-88,100,-78,-86,100,100,100,100,100,100,-66,-78,,
43,2022-07-23-14:30:21,-89,-67,100,100,-89,-69,100,100,100,100,100,100,-85,-89,-88,100,-77,-86,100,100,100,100,100,100,-58,-85,,
44,2022-07-23-14:30:26,-80,-68,100,100,-89,-69,100,100,100,100,100,100,-85,-78,-88,100,-77,-87,100,100,100,100,100,100,-62,-79,,
45,2022-07-23-14:30:31,-80,-74,100,100,-89,-72,100,100,-91,100,100,100,-79,-78,-88,100,-89,-87,100,100,100,100,100,100,-62,-78,,
46,2022-07-23-14:30:36,-89,-68,100,100,-89,-69,100,100,100,100,100,100,-85,-78,100,100,-78,-86,100,100,100,100,100,100,-66,-86,,
47,2022-07-23-14:30:41,-88,-67,100,100,-89,-69,100,100,-91,100,100,100,-85,-89,-88,100,-77,-86,100,100,100,100,100,100,-58,-79,,
48,2022-07-23-14:30:46,-80,-68,100,100,-89,-71,100,100,-91,100,100,100,-85,-78,-87,100,-89,-86,100,100,100,100,100,100,-62,-78,,
49,2022-07-23-14:30:51,-89,-68,100,100,-89,-69,100,100,100,100,100,100,-85,-78,-87,100,-79,-86,100,100,100,100,100,100,-66,-82,,
50,2022-07-23-14:30:56,-88,-67,100,100,-89,-71,100,100,-91,100,100,100,-85,-89,-88,100,-77,-87,100,100,100,100,100,100,-58,-86,,
51,2022-07-23-14:31:01,-80,-68,100,100,-89,-72,100,100,-91,100,100,100,-85,-78,-87,100,-77,-86,100,100,100,100,100,100,-62,-85,,
52,2022-07-23-14:31:06,-89,-68,100,100,-89,-69,100,100,100,100,100,100,-85,-90,-87,100,-78,-86,100,100,100,100,100,100,-66,-78,,
53,2022-07-23-14:31:11,-88,-67,100,100,-89,-71,100,100,100,100,100,100,-85,-89,-88,100,-77,-87,100,100,100,100,100,100,-58,-79,,
54,2022-07-23-14:31:16,-93,-70,100,100,-89,-77,100,100,-96,100,100,100,-85,-78,-88,100,-84,-87,100,100,100,100,100,100,-66,-82,,
55,2022-07-23-14:31:21,-88,-74,100,100,-89,-69,100,100,-96,100,100,100,-79,-89,100,100,-89,-87,100,100,100,100,100,100,-58,-86,,
56,2022-07-23-14:31:26,100,-67,100,100,-96,-71,100,100,100,100,100,100,-79,-90,-88,100,-77,100,100,100,100,100,100,100,-62,-79,,
57,2022-07-23-14:31:31,-93,-68,100,100,-89,-69,100,100,100,100,100,100,-85,-93,-87,100,-81,-91,100,100,100,100,100,100,-62,-85,,
58,2022-07-23-14:31:36,-88,-73,100,100,-89,-72,100,100,-91,100,100,100,-79,-78,-87,100,-89,-86,100,100,100,100,100,100,-62,-79,,
59,2022-07-23-14:31:41,-80,-67,100,100,100,-72,100,100,-91,100,100,100,-85,-89,-88,100,-77,-87,100,100,100,100,100,100,-66,-85,,
