index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-22-20:14:22,100,-80,-65,100,-93,100,-89,-84,-72,-98,-98,100,100,-90,100,100,-83,-66,100,100,100,100,100,-96,100
1,2022-07-22-20:14:27,100,-81,-71,100,100,100,-91,-94,-79,100,100,100,100,-87,100,100,100,-85,100,100,100,100,100,100,100
2,2022-07-22-20:14:32,100,-80,-65,100,-86,100,-87,-84,-60,100,100,100,100,-82,100,100,-86,-64,100,100,100,100,100,100,100
3,2022-07-22-20:14:37,100,-80,-68,100,-80,100,-91,-86,-62,100,100,100,100,-84,100,100,-82,-80,100,100,100,100,100,100,100
4,2022-07-22-20:14:42,100,-79,-84,100,-82,100,100,-94,-73,100,100,100,100,100,100,100,-86,-77,100,100,100,100,100,100,100
5,2022-07-22-20:14:47,100,-84,100,100,-78,100,100,100,-62,100,100,100,100,-85,100,100,-85,-72,100,100,100,100,100,100,100
6,2022-07-22-20:14:52,100,-80,-75,100,-82,100,-91,-87,-75,100,100,100,100,-91,100,100,-85,-71,100,100,100,100,100,100,100
7,2022-07-22-20:14:57,100,-78,-65,100,-82,100,-92,-83,-59,100,100,100,100,-82,100,100,-85,-63,100,100,100,100,100,100,100
8,2022-07-22-20:15:02,100,-83,-66,100,-80,100,-90,100,-62,100,100,100,100,-90,100,100,-83,-70,100,100,100,100,100,100,100
9,2022-07-22-20:15:07,100,-79,-72,100,-89,100,100,-85,-60,100,100,100,100,-83,100,100,100,100,100,100,100,100,100,100,100
10,2022-07-22-20:15:12,100,-82,-64,100,-79,100,-91,-87,-62,100,100,100,100,-85,100,100,-81,-77,100,100,100,100,100,100,100
