index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-19-20:12:10,100,-100,-96,-82,-82,100,-93,-93,-97,-88,-94,-89,100,100,-96,-85,100,-80,-83,-88,-93,100,-70,-85,100,100
1,2022-07-19-20:12:15,100,100,100,-85,-76,100,100,100,100,-95,100,100,100,100,-89,-72,100,-78,-82,-76,-94,100,-65,100,100,100
2,2022-07-19-20:12:20,100,100,100,-89,-82,100,-89,100,100,-94,-91,-70,100,100,-89,-83,100,-80,-82,-78,-83,100,-71,100,100,100
3,2022-07-19-20:12:25,100,100,-98,-89,-76,100,-86,100,100,-89,-86,-83,100,100,100,-73,100,-81,-82,-77,-87,100,-62,100,100,100
4,2022-07-19-20:12:30,100,100,100,-87,-75,100,-92,100,100,-86,-90,-63,100,100,-88,-75,100,-78,-81,-81,-85,100,-65,100,100,100
5,2022-07-19-20:12:35,100,100,100,100,-76,100,-87,-96,100,-90,-86,-82,100,100,100,100,100,-80,-82,-76,100,100,-63,100,100,100
6,2022-07-19-20:12:40,100,100,-97,-84,-76,100,-90,100,100,-88,-90,-64,100,100,-89,-75,100,-79,-82,-78,-87,100,-65,-86,100,100
7,2022-07-19-20:12:45,100,100,100,-84,-81,100,-95,100,100,-95,-91,-72,100,100,-88,-82,100,-80,-81,-73,-85,100,-71,-96,100,100
8,2022-07-19-20:12:50,100,100,100,-88,-75,100,-87,100,-97,-90,-86,-77,100,100,100,-73,100,-80,-81,-77,-86,100,-62,100,100,100
9,2022-07-19-20:12:55,100,100,100,-86,100,100,100,100,100,100,-91,-70,100,100,100,-83,100,-80,100,-76,-83,100,-62,100,100,100
10,2022-07-19-20:13:00,100,100,100,-88,-76,100,-87,100,100,-83,-87,-75,100,100,100,-73,100,-81,-82,-76,-84,100,-62,100,100,100
11,2022-07-19-20:13:05,100,100,100,-81,-76,100,100,100,100,-82,-90,-60,100,100,-88,-75,100,-78,-82,-84,-85,100,-65,-86,100,100
12,2022-07-19-20:13:10,100,100,100,-82,-82,100,-94,100,100,-96,-90,-71,100,100,-89,-83,100,-81,-82,-72,-83,100,-70,-94,100,100
13,2022-07-19-20:13:15,100,100,100,-82,100,100,100,100,100,-94,100,100,100,100,100,-84,100,-81,-84,100,100,100,-70,-96,100,100
14,2022-07-19-20:13:20,100,100,100,-82,-81,100,-91,100,100,-91,-92,-70,100,100,-88,-76,100,-78,-81,-72,-83,100,-70,-84,100,100
15,2022-07-19-20:13:25,100,100,100,-86,-76,100,-86,-96,100,-84,-86,-75,100,100,100,-74,100,-81,-82,-76,-86,100,-62,100,100,100
16,2022-07-19-20:13:30,100,100,100,-82,-76,100,-91,100,100,-83,-87,-60,100,100,-88,-75,100,-78,-82,-80,-85,100,-64,-85,100,100
17,2022-07-19-20:13:35,100,100,100,-82,-76,100,100,100,100,-83,100,-60,100,100,-89,-75,100,-78,-82,-80,100,100,-64,-85,100,100
18,2022-07-19-20:13:40,100,100,-98,-87,-75,100,-92,-95,-98,-84,-85,-75,100,100,100,-74,100,-81,-82,-80,-85,100,-64,-87,100,100
19,2022-07-19-20:13:45,100,100,100,-82,-82,100,-90,100,100,-83,-91,-60,100,100,-89,-82,100,-80,-82,-72,-83,100,-70,-85,100,100
20,2022-07-19-20:13:50,100,100,100,-86,-75,100,-86,-96,100,-84,-86,-75,100,100,100,-74,100,-81,-82,-76,-86,100,-62,-96,100,100
21,2022-07-19-20:13:55,100,100,-98,-86,-76,100,-86,100,-97,-84,100,-75,100,100,100,-73,100,-81,-82,-76,-86,100,-63,100,100,100
22,2022-07-19-20:14:00,100,100,100,-82,-82,100,-97,100,100,-92,-86,-70,100,100,100,-82,100,-80,-82,-77,-83,100,-70,100,100,100
23,2022-07-19-20:14:05,100,100,100,-86,-76,100,-91,-96,100,-84,-87,-74,100,100,-89,-75,100,-78,-83,-80,-85,100,-65,-85,100,100
24,2022-07-19-20:14:10,100,100,100,-82,-82,100,-91,100,100,-83,-91,-70,100,100,-89,-82,100,-80,-82,-72,-83,100,-70,-85,100,100
25,2022-07-19-20:14:15,100,100,100,-82,-82,100,100,100,100,-93,-91,-70,100,100,100,-82,100,-80,100,-72,-83,100,-70,100,100,100
26,2022-07-19-20:14:20,100,100,100,-82,-76,100,-91,100,100,-83,-87,-60,100,100,-89,-75,100,-78,-82,-79,-85,100,-65,-85,100,100
27,2022-07-19-20:14:25,100,100,100,-82,-75,100,-85,100,100,-85,-92,-75,100,100,100,-73,100,-80,100,-76,-83,100,-62,-94,100,100
