index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-19-17:58:16,100,-90,-73,-100,-87,100,-76,-82,-88,-88,-96,-87,100,100,-90,-90,100,-66,-71,-94,-96,100,-87,-94,-91,-99
1,2022-07-19-17:58:21,100,-86,-77,-88,-73,100,-79,-80,-90,-84,-92,100,100,100,-81,-85,100,-61,-76,-79,-99,100,-76,100,-99,100
2,2022-07-19-17:58:26,100,-81,-76,-91,-78,100,-85,-86,-80,-84,100,-86,100,100,-86,-93,100,-65,-82,-85,-97,100,-91,-87,-98,100
3,2022-07-19-17:58:31,100,-84,-72,-97,-78,100,-78,-80,-81,-92,100,-87,100,100,-88,100,100,-63,-77,-84,-99,100,100,-93,100,100
4,2022-07-19-17:58:36,100,-84,-72,-88,-76,100,-78,-85,-83,-90,100,-87,100,100,-81,-90,100,-65,-82,100,100,100,100,100,100,100
5,2022-07-19-17:58:41,100,-79,-72,-87,-77,100,-78,-79,-83,-83,100,-85,100,100,-80,-91,100,-68,-71,-89,100,100,-92,-91,-97,100
6,2022-07-19-17:58:46,100,-87,-90,-80,-85,100,-79,-87,-79,-79,-96,-82,100,100,-81,-85,100,-59,-71,-79,100,100,-79,100,-94,100
7,2022-07-19-17:58:51,100,-83,-76,-80,-72,100,-87,-87,-84,-78,-90,-83,100,100,-78,-85,100,-62,-79,-78,-96,100,-81,-85,-94,100
8,2022-07-19-17:58:56,100,-81,-81,-91,-80,100,-84,-82,-80,-78,-92,-79,100,100,-85,-88,100,-58,-75,-78,100,100,-80,-87,-91,100
9,2022-07-19-17:59:01,100,-83,-77,-80,-72,100,-82,-87,-89,100,100,-84,100,100,-75,-85,100,-56,-72,-87,100,100,-87,-85,-92,100
10,2022-07-19-17:59:06,100,-82,-78,-80,-72,100,-83,-86,-88,-78,-89,-84,100,100,-81,-83,100,-59,-63,-86,-90,100,-87,-86,-91,100
11,2022-07-19-17:59:11,100,-79,-82,-80,-82,100,-82,-87,-83,-87,-90,-83,100,100,-86,-85,100,-57,-71,-81,100,100,-87,-86,-91,100
12,2022-07-19-17:59:16,100,-79,-81,-80,-83,100,-82,-77,-89,-78,-90,-84,100,100,-82,-89,100,-56,-63,-79,-90,100,-86,-85,100,100
13,2022-07-19-17:59:21,100,-83,-78,-80,-73,100,-83,-81,-85,-86,-91,-79,100,100,-83,-85,100,-59,-71,-78,100,100,-88,-86,-90,100
14,2022-07-19-17:59:26,100,-86,-77,-91,-82,100,-85,-84,-85,100,-99,-91,100,100,-82,-88,100,-68,-74,100,100,100,-90,100,-95,100
15,2022-07-19-17:59:31,100,-85,-71,100,-88,100,-93,-77,-86,100,100,-95,100,100,-88,100,100,-66,-72,100,100,100,100,100,100,100
16,2022-07-19-17:59:36,100,-81,-79,-84,-72,100,-80,-80,-82,-91,-90,-82,100,100,-85,-84,100,-59,-77,-81,100,100,100,-86,100,100
17,2022-07-19-17:59:41,100,-82,-78,-80,-72,100,100,-86,-81,-85,-91,-80,100,100,-81,-86,100,-62,-77,-78,100,100,-80,-85,-91,100
18,2022-07-19-17:59:46,100,-81,-78,-84,-73,100,-85,-91,-86,-88,-91,-81,100,100,-80,-85,100,-63,-66,-78,-90,100,-79,-88,100,100
19,2022-07-19-17:59:51,100,-88,-81,-84,-73,100,-84,-86,-89,-89,100,-81,100,100,-79,-89,100,-64,-78,-79,-97,100,-86,-87,-94,100
20,2022-07-19-17:59:56,100,-80,-74,-84,-82,100,-84,-78,-84,-79,100,-81,100,100,-87,-82,100,-61,-74,-79,-97,100,-86,-86,-97,100
21,2022-07-19-18:00:01,100,-85,-80,-94,-81,100,-83,-81,-85,-91,-91,-81,100,100,-76,-89,100,-60,-79,-79,100,100,-80,-86,-95,100
22,2022-07-19-18:00:06,100,-80,-81,-84,-77,100,-85,-78,-84,-79,100,-81,100,100,-85,-82,100,-62,100,100,-96,100,-86,-86,100,100
