index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-19-18:06:14,100,-80,-86,-89,-77,-97,-86,-82,-63,-93,-99,-86,100,100,-85,-94,100,-58,-79,-92,-93,100,-93,-87,-91,100
1,2022-07-19-18:06:19,100,-71,-86,-86,-72,100,-81,-90,-62,-82,100,-75,100,100,-71,-86,-96,-59,-73,-85,-86,100,100,-85,-97,-97
2,2022-07-19-18:06:24,100,-82,-82,100,-83,-97,-95,-88,-74,-89,100,-83,100,100,-78,-90,100,-60,-75,-97,-86,100,-84,100,100,100
3,2022-07-19-18:06:29,100,-77,-74,-92,-73,100,-88,-88,-66,-86,-90,-84,100,100,-71,-88,100,-68,-89,100,-93,100,-84,100,-90,100
4,2022-07-19-18:06:34,100,-74,-76,-99,-73,100,100,-81,-62,-87,-99,-84,100,100,-73,-82,100,-67,-72,-84,-85,100,-94,100,-89,100
5,2022-07-19-18:06:39,100,-82,-77,-84,-71,-92,-83,-93,-65,-88,100,-74,100,100,-76,-87,-95,-59,-73,100,-86,100,-79,-88,-91,100
6,2022-07-19-18:06:44,100,-73,-75,-86,-83,100,-86,-94,-77,-86,100,-82,100,100,-69,-87,100,-65,-70,-86,-82,100,-79,-89,-91,100
7,2022-07-19-18:06:49,100,-71,-77,-92,-70,100,-85,-83,-65,-87,-91,-73,100,100,-69,-84,100,-59,-76,100,-86,100,-77,-85,-91,100
8,2022-07-19-18:06:54,100,-71,-77,-86,-85,100,-84,-79,-62,-85,-91,-75,100,100,-72,-84,100,-62,-70,100,-82,100,-86,-88,-89,100
9,2022-07-19-18:06:59,100,-72,-85,100,-73,100,-82,-90,-74,-86,-97,-81,100,100,-78,-87,100,-67,-79,-88,-82,100,-79,-88,-89,100
