index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-61.26
0,2022-07-23-18:07:03,-67,-90,100,100,-94,-87,100,100,100,100,100,-91,-73,100,100,-88,100,100,100,100,100,100,100,-92,-82,,
1,2022-07-23-18:07:08,-63,-88,100,100,-95,-87,100,100,100,100,100,-79,-84,100,100,100,100,100,100,100,100,100,100,100,-82,,
2,2022-07-23-18:07:13,-64,-93,100,100,-88,-91,100,100,100,100,100,-70,-71,100,100,-91,100,100,100,100,100,100,100,100,-76,,
3,2022-07-23-18:07:18,-67,-86,100,100,100,-79,100,100,100,100,100,-73,-73,100,100,-87,100,100,100,100,100,100,100,-98,-84,,
4,2022-07-23-18:07:23,-55,-83,100,100,100,-90,100,100,100,100,100,-67,-71,100,100,-90,100,100,100,100,100,100,100,-94,-83,,
5,2022-07-23-18:07:28,-63,100,100,100,-88,-90,100,100,100,100,100,-73,-72,100,100,-92,100,100,100,100,100,100,100,-94,-78,,
6,2022-07-23-18:07:33,-56,-84,100,100,-91,-77,100,100,100,100,100,-67,-72,100,100,-84,100,100,100,100,100,100,100,100,-80,,
7,2022-07-23-18:07:38,-63,100,100,100,-88,-91,100,100,100,100,100,-73,-83,100,100,-92,100,100,100,100,100,100,100,-92,-77,,
8,2022-07-23-18:07:43,-67,-84,100,100,-92,-78,100,100,100,100,100,-67,-82,100,100,-83,100,100,100,100,100,100,100,-97,-83,,
9,2022-07-23-18:07:48,-56,-83,100,100,100,-76,100,100,100,100,100,-66,-71,100,100,-83,100,100,100,100,100,100,100,-97,-83,,
10,2022-07-23-18:07:53,-67,100,100,100,100,100,100,100,100,100,100,-72,100,100,100,100,100,100,100,100,100,100,100,100,-78,,
11,2022-07-23-18:07:58,-56,-84,100,100,100,-78,100,100,100,100,100,-67,-71,100,100,-83,100,100,100,100,100,100,100,100,-80,,
12,2022-07-23-18:08:03,-63,100,100,100,-89,-92,100,100,100,100,100,-73,-72,100,100,-91,100,100,100,100,100,100,100,-94,-77,,
13,2022-07-23-18:08:08,-67,-86,100,100,100,-82,100,100,100,100,100,-73,-82,100,100,-97,100,100,100,100,100,100,100,-98,-78,,
14,2022-07-23-18:08:13,-63,100,100,100,100,-93,100,100,100,100,100,-73,-72,100,100,100,100,100,100,100,100,100,100,-96,-77,,
15,2022-07-23-18:08:18,-67,-87,100,100,-95,-81,100,100,100,100,100,-73,-82,100,100,-93,100,100,100,100,100,100,100,-97,-78,,
16,2022-07-23-18:08:23,-56,-83,100,100,-92,-78,100,100,100,100,100,-67,-72,100,100,-84,100,100,100,100,100,100,100,-95,-80,,
17,2022-07-23-18:08:28,-63,100,100,100,100,-93,100,100,100,100,100,-73,-72,100,100,100,100,100,100,100,100,100,100,-94,-77,,
18,2022-07-23-18:08:33,-56,-84,100,100,-91,-77,100,100,100,100,100,-67,100,100,100,-84,100,100,100,100,100,100,100,100,-80,,
19,2022-07-23-18:08:38,-63,-94,100,100,100,-78,100,100,100,100,100,-73,-72,100,100,-92,100,100,100,100,100,100,100,-94,-77,,
20,2022-07-23-18:08:43,-66,-86,100,100,-95,-82,100,100,100,100,100,-74,-83,100,100,-91,100,100,100,100,100,100,100,100,-78,,
21,2022-07-23-18:08:48,-56,-83,100,100,-92,-77,100,100,100,100,100,-67,-72,100,100,-84,100,100,100,100,100,100,100,-97,-80,,
22,2022-07-23-18:08:53,100,-86,100,100,100,-82,100,100,100,100,100,-73,-82,100,100,100,100,100,100,100,100,100,100,-97,-78,,
23,2022-07-23-18:08:58,-56,-84,100,100,100,-81,100,100,100,100,100,-67,-71,100,100,-84,100,100,100,100,100,100,100,100,-80,,
24,2022-07-23-18:09:03,-63,100,100,100,-89,-91,100,100,100,100,100,-73,-71,100,100,-92,100,100,100,100,100,100,100,-96,-80,,
25,2022-07-23-18:09:08,-67,-87,100,100,-96,-82,100,100,100,100,100,-73,-82,100,100,-96,100,100,100,100,100,100,100,100,-78,,
26,2022-07-23-18:09:13,-63,-93,100,100,100,100,100,100,100,100,100,100,-72,100,100,100,100,100,100,100,100,100,100,100,-77,,
27,2022-07-23-18:09:18,-68,-87,100,100,-89,-92,100,100,100,100,100,-73,-72,100,100,-92,100,100,100,100,100,100,100,-94,-78,,
28,2022-07-23-18:09:23,-56,-84,100,100,-92,-77,100,100,100,100,100,-67,-72,100,100,-84,100,100,100,100,100,100,100,100,-80,,
29,2022-07-23-18:09:28,-63,100,100,100,-91,-91,100,100,100,100,100,-73,-72,100,100,-92,100,100,100,100,100,100,100,-95,-77,,
30,2022-07-23-18:09:33,-56,-83,100,100,-88,100,100,100,100,100,100,-67,-72,100,100,100,100,100,100,100,100,100,100,100,-77,,
31,2022-07-23-18:09:38,-56,-94,100,100,-92,-78,100,100,100,100,100,-73,-72,100,100,-84,100,100,100,100,100,100,100,-95,-78,,
32,2022-07-23-18:09:43,-67,-86,100,100,-90,-82,100,100,100,100,100,-73,-82,100,100,-96,100,100,100,100,100,100,100,-97,-78,,
33,2022-07-23-18:09:48,-56,-84,100,100,-96,-77,100,100,100,100,100,-67,-72,100,100,-83,100,100,100,100,100,100,100,100,-80,,
34,2022-07-23-18:09:53,-56,-83,100,100,-93,100,100,100,100,100,100,-67,-71,100,100,100,100,100,100,100,100,100,100,100,-81,,
35,2022-07-23-18:09:58,-56,-87,100,100,-97,-78,100,100,100,100,100,-73,-83,100,100,-84,100,100,100,100,100,100,100,-96,-80,,
36,2022-07-23-18:10:03,-63,-84,100,100,-89,-93,100,100,100,100,100,-73,-72,100,100,-93,100,100,100,100,100,100,100,100,-77,,
37,2022-07-23-18:10:08,-68,-87,100,100,-89,-82,100,100,100,100,100,-73,-83,100,100,-93,100,100,100,100,100,100,100,-98,-78,,
38,2022-07-23-18:10:13,100,-87,100,100,100,-82,100,100,100,100,100,-73,100,100,100,100,100,100,100,100,100,100,100,-97,100,,
39,2022-07-23-18:10:18,-68,-90,100,100,-89,100,100,100,100,100,100,-73,-82,100,100,-90,100,100,100,100,100,100,100,100,-77,,
40,2022-07-23-18:10:23,-56,-85,100,100,-94,-78,100,100,100,100,100,-67,-81,100,100,-83,100,100,100,100,100,100,100,100,-80,,
41,2022-07-23-18:10:28,-64,-95,100,100,-89,-79,100,100,100,100,100,-67,-72,100,100,-89,100,100,100,100,100,100,100,100,-77,,
42,2022-07-23-18:10:33,-63,100,100,100,-90,100,100,100,100,100,100,-73,-72,100,100,-90,100,100,100,100,100,100,100,-93,-77,,
43,2022-07-23-18:10:38,-56,-83,100,100,100,-79,100,100,100,100,100,-67,-71,100,100,-82,100,100,100,100,100,100,100,100,-80,,
44,2022-07-23-18:10:43,-63,-92,100,100,-88,-82,100,100,100,100,100,-73,-81,100,100,-92,100,100,100,100,100,100,100,100,-78,,
