index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-22-09:51:25,100,100,-93,-94,-78,100,-87,-85,100,-89,-99,-83,100,100,-84,-61,100,-79,-88,-93,-94,100,-72,100,100,100
1,2022-07-22-09:51:30,100,100,100,-82,-87,100,-88,-98,100,-77,-90,-80,100,100,-90,-54,100,-77,-89,-77,-83,100,-67,-89,100,100
2,2022-07-22-09:51:35,100,100,-93,-94,-79,100,-92,-88,100,-84,-90,-70,100,100,-83,-62,100,-80,-88,-81,-86,100,-73,100,100,100
3,2022-07-22-09:51:40,100,100,100,-96,-80,100,-89,100,-96,-89,100,-80,100,100,-86,-61,100,-79,-89,100,100,100,-74,100,100,100
4,2022-07-22-09:51:45,100,100,-93,-94,-79,100,-92,-89,100,-88,-91,-79,100,100,-86,-64,100,-79,-92,-82,-85,100,-77,-88,100,100
5,2022-07-22-09:51:50,100,100,100,-89,-81,100,-86,-93,100,-78,-90,-73,100,100,-88,-56,100,-83,-89,-77,-85,100,-66,-90,100,100
6,2022-07-22-09:51:55,100,100,-92,-92,-78,100,-88,-88,-97,-79,-89,-78,100,100,-87,-61,100,-80,-89,-80,-85,100,-71,-86,100,100
7,2022-07-22-09:52:00,100,100,100,-83,-86,100,-88,100,100,-91,-89,-81,100,100,-88,-65,100,-79,-89,-77,-85,100,-80,-86,100,100
8,2022-07-22-09:52:05,100,100,-92,-90,-81,100,-86,-88,100,-78,-90,-73,100,100,-88,-56,100,-83,-89,-83,-84,100,-66,-86,100,100
9,2022-07-22-09:52:10,100,100,100,-90,-80,100,-86,-88,100,-79,-89,-73,100,100,-80,-56,100,-80,-96,-80,-88,100,-66,-86,100,100
