index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,
37,2022-07-23-13:59:14,-90,-68,100,100,-76,-65,100,100,-82,100,100,-79,-74,-89,100,-77,-78,-92,100,100,100,100,100,-84,-75,,
38,2022-07-23-13:59:19,-90,-81,100,100,-76,-71,100,100,-93,100,100,-79,-84,-89,100,-87,-92,-97,100,100,100,100,100,-85,-74,,
39,2022-07-23-13:59:24,-80,-73,100,100,-78,-66,100,100,-92,100,100,-82,-82,-95,100,-89,-77,-94,100,100,100,100,100,-60,-87,,
40,2022-07-23-13:59:29,100,-72,100,100,-78,-64,100,100,-85,100,100,-83,100,100,100,-86,-77,-92,100,100,100,100,100,-60,-82,,
41,2022-07-23-13:59:34,-91,-73,100,100,-78,-71,100,100,-92,100,100,-81,100,100,100,-88,-93,100,100,100,100,100,100,-64,-87,,
42,2022-07-23-13:59:39,-82,-68,100,100,-76,-65,100,100,-82,100,100,-80,-74,100,100,-78,-76,-92,100,100,100,100,100,-86,-75,,
43,2022-07-23-13:59:44,-90,-80,100,100,-76,-71,100,100,-80,100,100,-80,-74,-94,100,-89,100,100,100,100,100,100,100,-85,-76,,
44,2022-07-23-13:59:49,-90,-80,100,100,100,-71,100,100,-92,100,100,100,-82,100,100,-89,-96,100,100,100,100,100,100,-64,-76,,
45,2022-07-23-13:59:54,-90,-68,100,100,-90,-66,100,100,-82,100,100,-79,-74,-89,100,-77,-76,100,100,100,100,100,100,-85,-75,,
46,2022-07-23-13:59:59,-81,-73,100,100,-78,-63,100,100,-88,100,100,-80,-82,-96,100,-88,-77,-91,100,100,100,100,100,-64,-87,,
47,2022-07-23-14:00:04,-90,-68,100,100,-76,-66,100,100,-82,100,100,-80,-74,-89,100,-77,-76,-92,100,100,100,100,100,-83,-75,,
48,2022-07-23-14:00:09,-88,-68,100,100,-76,-66,100,100,-81,100,100,-79,-74,-89,100,-77,100,100,100,100,100,100,100,100,-75,,
49,2022-07-23-14:00:14,-81,-73,100,100,-78,-63,100,100,-86,100,100,-81,-80,-94,100,-84,-77,-92,100,100,100,100,100,-59,-87,,
50,2022-07-23-14:00:19,-90,-80,100,100,-76,-65,100,100,-93,100,100,-79,-74,-95,100,-77,-76,100,100,100,100,100,100,-64,-75,,
51,2022-07-23-14:00:24,-81,-73,100,100,-78,-63,100,100,-86,100,100,-81,-80,-95,100,-89,-94,-94,100,100,100,100,100,-59,-86,,
52,2022-07-23-14:00:29,-81,-73,100,100,-78,-63,100,100,-87,100,100,-81,-80,-95,100,100,-77,-93,100,100,100,100,100,-59,-87,,
53,2022-07-23-14:00:34,-90,-80,100,100,-90,-71,100,100,-94,100,100,100,-82,-96,100,-89,-93,-100,100,100,100,100,100,-64,-76,,
54,2022-07-23-14:00:39,-82,-73,100,100,-76,-63,100,100,-87,100,100,-81,-80,-95,100,-84,-77,-92,100,100,100,100,100,-59,-87,,
55,2022-07-23-14:00:44,-90,-80,100,100,-90,-71,100,100,-82,100,100,-79,-74,-95,100,-78,-77,100,100,100,100,100,100,-64,-74,,
56,2022-07-23-14:00:49,-90,-79,100,100,100,-71,100,100,-92,100,100,100,-82,-95,100,-88,-94,100,100,100,100,100,100,-64,-76,,
57,2022-07-23-14:00:54,-92,-68,100,100,-76,-65,100,100,-82,100,100,-79,-74,-89,100,-78,-76,100,100,100,100,100,100,-84,-74,,
58,2022-07-23-14:00:59,-90,-80,100,100,-76,-71,100,100,-92,100,100,-78,-82,-95,100,-89,-93,100,100,100,100,100,100,-64,-76,,
59,2022-07-23-14:01:04,-90,-73,100,100,-78,-65,100,100,-85,100,100,-81,-74,-94,100,-78,-77,-91,100,100,100,100,100,-59,-87,,
