index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,RFstar_9120
46,2022-07-19-19:11:52,100,-94,100,-87,-82,100,-86,100,-92,-86,-78,100,100,-90,-57,100,-85,-80,100,-90,100,-84,100,100,100,100.0
47,2022-07-19-19:11:57,100,100,100,100,-88,100,100,-96,100,-92,-83,100,100,-77,-72,100,-76,-85,-81,100,100,-87,100,100,100,100.0
48,2022-07-19-19:12:02,100,-91,-92,-87,-80,100,-90,100,-92,-83,-78,100,100,-91,-58,100,-85,-88,-77,-90,100,-72,-95,100,100,-89.0
49,2022-07-19-19:12:07,100,100,100,-98,-92,100,-92,100,100,-91,-83,100,100,-77,-72,100,-77,-87,-81,-90,100,-87,-90,100,100,100.0
50,2022-07-19-19:12:12,100,100,100,100,-86,100,-93,100,100,-92,-83,100,100,-76,-72,100,-77,-86,-80,100,100,-87,100,100,100,100.0
51,2022-07-19-19:12:17,100,-94,100,100,-80,100,-87,100,100,-82,-79,100,100,-82,-58,100,-85,-84,-78,-88,100,-73,100,100,100,100.0
52,2022-07-19-19:12:22,100,-93,100,-93,-80,100,-86,100,100,-97,-88,100,100,-76,-72,100,-85,-85,-80,-95,100,-83,100,100,100,-96.0
53,2022-07-19-19:12:27,100,-94,-97,-96,-80,100,-87,-95,-93,-83,-79,100,100,-81,-58,100,-86,-84,-77,-89,100,-72,100,100,100,-89.0
54,2022-07-19-19:12:32,100,100,100,-97,-80,100,-86,100,-93,-83,-78,100,100,-82,-58,100,100,-84,-77,-89,100,-72,-90,100,100,100.0
55,2022-07-19-19:12:37,100,100,-98,-86,-82,100,-86,-95,100,-86,-78,100,100,-90,-57,100,-85,-80,-83,-89,100,-83,100,100,100,100.0
56,2022-07-19-19:12:42,100,-93,100,-96,-80,100,-87,100,-93,-83,-78,100,100,-82,-58,100,-86,-84,-78,-90,100,-72,-90,100,100,100.0
57,2022-07-19-19:12:47,100,100,100,-96,-82,100,-94,100,100,-94,-85,100,100,-90,-72,100,-76,-81,-81,100,100,-82,100,100,100,-96.0
58,2022-07-19-19:12:52,100,-94,100,-87,-81,100,-86,100,-92,-84,-78,100,100,-82,-57,100,-84,-82,-82,-89,100,-79,-91,100,100,100.0
59,2022-07-19-19:12:57,100,100,100,100,-88,100,-92,100,100,-92,-83,100,100,-77,-72,100,-76,-86,-81,100,100,-86,100,100,100,100.0
