index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-81.94
0,2022-07-23-16:45:17,-84,-96,100,100,-72,-76,100,100,100,100,100,-73,-58,100,100,-89,100,100,100,100,-91,100,100,-87,-79,,
1,2022-07-23-16:45:22,-80,-84,100,100,-72,-80,100,100,100,100,100,-73,-59,100,100,-66,100,100,100,100,100,100,100,-94,-63,,
2,2022-07-23-16:45:27,-77,-82,100,100,-72,-79,100,100,100,100,100,-81,-68,-98,100,-67,100,100,100,100,100,100,100,-94,-70,,
3,2022-07-23-16:45:32,-88,-86,100,100,-72,-76,100,100,100,100,100,-71,-58,100,100,-71,100,100,100,100,100,100,100,-85,-68,,
4,2022-07-23-16:45:37,-79,-84,100,100,-76,-76,100,100,100,100,100,-75,-62,100,100,-71,100,100,100,100,100,100,100,-84,-70,,
5,2022-07-23-16:45:42,-78,-77,100,100,-75,-76,100,100,100,100,100,-76,-70,100,100,-71,100,100,100,100,100,100,100,-92,-63,,
6,2022-07-23-16:45:47,-87,-82,100,100,-76,-84,100,100,100,100,100,-81,-65,-97,100,-70,100,100,100,100,100,100,100,-85,-63,,
7,2022-07-23-16:45:52,-81,-82,100,100,-79,-74,100,100,100,100,100,-72,-62,100,100,-66,100,100,100,100,100,100,100,-90,-67,,
8,2022-07-23-16:45:57,-78,-77,100,100,-71,-78,100,100,100,100,100,-80,-59,100,100,-73,100,100,100,100,100,100,100,-91,-62,,
9,2022-07-23-16:46:02,-86,-81,100,100,-71,-76,100,100,100,100,100,-74,-66,100,100,-71,100,100,100,100,100,100,100,-93,-63,,
10,2022-07-23-16:46:07,-86,-82,100,100,-72,-76,100,100,100,100,100,-71,-59,100,100,-71,100,100,100,100,100,100,100,100,-69,,
11,2022-07-23-16:46:12,-79,-82,100,100,-71,-77,100,100,100,100,100,-74,-59,100,100,-68,100,100,100,100,100,100,100,-91,-69,,
12,2022-07-23-16:46:17,-77,-82,100,100,-76,-76,100,100,100,100,100,-71,-66,100,100,-70,100,100,100,100,100,100,100,-85,-67,,
13,2022-07-23-16:46:22,-77,-77,100,100,-76,-76,100,100,100,100,100,-80,-66,100,100,-70,100,100,100,100,100,100,100,-92,-69,,
14,2022-07-23-16:46:27,-86,-81,100,100,-72,100,100,100,100,100,100,-71,-67,-98,100,-68,100,100,100,100,100,100,100,-91,-68,,
15,2022-07-23-16:46:32,-86,-77,100,100,-76,-76,100,100,100,100,100,-74,-67,100,100,-70,100,100,100,100,100,100,100,-92,-63,,
16,2022-07-23-16:46:37,-77,-77,100,100,-72,-85,100,100,100,100,100,-80,-65,100,100,-70,100,100,100,100,100,100,100,-91,-70,,
17,2022-07-23-16:46:42,-79,-81,100,100,-76,-76,100,100,100,100,100,-71,-67,100,100,-71,100,100,100,100,100,100,100,-85,-67,,
18,2022-07-23-16:46:47,-86,-82,100,100,-72,-77,100,100,100,100,100,-74,-66,100,100,-70,100,100,100,100,100,100,100,-91,-63,,
19,2022-07-23-16:46:52,-86,-77,100,100,-76,-76,100,100,100,100,100,-71,-65,100,100,-70,100,100,100,100,100,100,100,-85,-68,,
20,2022-07-23-16:46:57,-79,-81,100,100,-71,-76,100,100,100,100,100,-80,-66,100,100,-70,100,100,100,100,100,100,100,-85,-67,,
21,2022-07-23-16:47:02,-79,-82,100,100,-72,-76,100,100,100,100,100,-71,-65,100,100,-70,100,100,100,100,100,100,100,-85,-63,,
22,2022-07-23-16:47:07,-77,-82,100,100,-72,-85,100,100,100,100,100,-71,-59,100,100,-70,100,100,100,100,100,100,100,-92,-68,,
23,2022-07-23-16:47:12,-77,-77,100,100,-72,-85,100,100,100,100,100,-75,-66,-98,100,-70,100,100,100,100,100,100,100,-85,-69,,
24,2022-07-23-16:47:17,-79,-82,100,100,-76,-76,100,100,100,100,100,-80,-66,100,100,-67,100,100,100,100,100,100,100,-93,-63,,
25,2022-07-23-16:47:22,-86,-82,100,100,-76,-76,100,100,100,100,100,-71,-66,100,100,-70,100,100,100,100,100,100,100,-92,-63,,
26,2022-07-23-16:47:27,-86,-82,100,100,-76,-85,100,100,100,100,100,-71,-67,100,100,-67,100,100,100,100,-95,100,100,-85,-69,,
27,2022-07-23-16:47:32,-77,-83,100,100,-76,-78,100,100,100,100,100,-71,-66,100,100,-70,100,100,100,100,100,100,100,-86,-69,,
28,2022-07-23-16:47:37,-78,-82,100,100,-72,-85,100,100,100,100,100,-71,-66,100,100,-71,100,100,100,100,100,100,100,-86,-70,,
29,2022-07-23-16:47:42,-80,-80,100,100,-71,-76,100,100,100,100,100,-74,-65,100,100,-67,100,100,100,100,100,100,100,-93,-63,,
30,2022-07-23-16:47:47,-86,-82,100,100,-72,-76,100,100,100,100,100,-74,-60,100,100,-70,100,100,100,100,100,100,100,-85,-63,,
31,2022-07-23-16:47:52,-86,-82,100,100,-71,-76,100,100,100,100,100,-74,-59,100,100,-67,100,100,100,100,100,100,100,100,-63,,
