index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-80.82
0,2022-07-23-14:57:09,-85,-86,100,100,-93,-61,100,100,-95,100,100,100,-93,-90,-93,100,-77,-93,100,100,100,-85,100,100,-80,-77,,
1,2022-07-23-14:57:14,-82,-83,100,100,-83,-62,100,100,100,100,100,100,-80,-84,100,100,-72,100,100,100,100,100,100,100,-81,-80,,
2,2022-07-23-14:57:19,-80,-81,100,100,-79,-61,100,100,100,100,100,100,-79,-88,100,100,-74,100,100,100,100,-86,100,100,-81,-75,,
3,2022-07-23-14:57:24,-87,-79,100,100,-79,-52,100,100,100,100,100,100,-81,-86,-96,100,-73,100,100,100,100,-82,100,100,-81,-80,,
4,2022-07-23-14:57:29,-87,-80,100,100,-85,-52,100,100,100,100,100,100,-80,-86,100,100,-73,-99,100,100,100,-83,100,100,-82,-73,,
5,2022-07-23-14:57:34,-81,-79,100,100,-79,-61,100,100,100,100,100,100,-81,-86,100,100,-72,100,100,100,100,-83,100,100,-81,-74,,
6,2022-07-23-14:57:39,-87,-79,100,100,-86,-53,100,100,100,100,100,100,-88,-86,-94,100,-73,100,100,100,100,100,100,100,-82,-73,,
7,2022-07-23-14:57:44,-82,-78,100,100,-75,-61,100,100,100,100,100,100,-87,-86,100,100,-74,100,100,100,100,100,100,100,-80,-81,,
8,2022-07-23-14:57:49,-76,-91,100,100,-86,-53,100,100,100,100,100,100,-81,-86,-93,100,-74,100,100,100,100,100,100,100,-80,-75,,
9,2022-07-23-14:57:54,-87,-78,100,100,-79,-53,100,100,100,100,100,100,-89,-88,100,100,-74,-98,100,100,100,-84,100,100,-80,-76,,
10,2022-07-23-14:57:59,-82,-80,100,100,-85,-61,100,100,100,100,100,100,-81,-87,100,100,-73,100,100,100,100,100,100,100,-82,-82,,
11,2022-07-23-14:58:04,-87,-79,100,100,-85,-53,100,100,100,100,100,100,-80,-87,100,100,-73,100,100,100,100,100,100,100,-82,-80,,
12,2022-07-23-14:58:09,-76,-79,100,100,-85,-53,100,100,100,100,100,100,-80,-86,-93,100,-73,100,100,100,100,-87,100,100,-81,-73,,
13,2022-07-23-14:58:14,100,-80,100,100,-85,-53,100,100,100,100,100,100,-81,-86,100,100,-73,100,100,100,100,-83,100,100,-82,-74,,
14,2022-07-23-14:58:19,-81,-80,100,100,-86,-61,100,100,100,100,100,100,-80,-86,-93,100,-74,100,100,100,100,100,100,100,-78,-73,,
15,2022-07-23-14:58:24,-76,-80,100,100,-86,-52,100,100,100,100,100,100,-77,-86,100,100,-72,100,100,100,100,-83,100,100,-82,-80,,
16,2022-07-23-14:58:29,-88,-80,100,100,-86,-61,100,100,100,100,100,100,-80,-86,100,100,-73,100,100,100,100,-84,100,100,-82,-80,,
17,2022-07-23-14:58:34,-81,-79,100,100,-79,-61,100,100,100,100,100,100,-77,-88,100,100,100,-98,100,100,100,-83,100,100,-82,-73,,
18,2022-07-23-14:58:39,-76,-80,100,100,-87,-53,100,100,100,100,100,100,-81,-86,100,100,-72,100,100,100,100,100,100,100,-82,-73,,
19,2022-07-23-14:58:44,-88,-79,100,100,-85,-61,100,100,100,100,100,100,-77,-88,100,100,-73,100,100,100,100,100,100,100,-78,-74,,
20,2022-07-23-14:58:49,-76,-79,100,100,-79,-52,100,100,100,100,100,100,-88,-87,100,100,-72,100,100,100,100,-86,100,100,-82,-80,,
21,2022-07-23-14:58:54,-81,-80,100,100,-86,-53,100,100,100,100,100,100,-80,-86,-94,100,-73,100,100,100,100,100,100,100,-82,-73,,
22,2022-07-23-14:58:59,-81,-80,100,100,-85,-52,100,100,100,100,100,100,-80,-87,-94,100,-73,100,100,100,100,-83,100,100,-78,-73,,
23,2022-07-23-14:59:04,-76,-80,100,100,100,-53,100,100,100,100,100,100,-80,-86,100,100,-72,100,100,100,100,-85,100,100,-78,-73,,
24,2022-07-23-14:59:09,-87,-79,100,100,-86,-61,100,100,100,100,100,100,-77,-88,-93,100,-73,100,100,100,100,-85,100,100,-82,-73,,
25,2022-07-23-14:59:14,-76,-79,100,100,-85,-53,100,100,-98,100,100,100,-88,-86,100,100,-72,100,100,100,100,100,100,100,-82,-73,,
26,2022-07-23-14:59:19,-87,-79,100,100,-79,-61,100,100,100,100,100,100,-77,-86,100,100,-73,100,-96,100,100,100,100,100,-82,-74,,
27,2022-07-23-14:59:24,-81,-80,100,100,-85,-52,100,100,100,100,100,100,-77,-86,100,100,-72,100,100,100,100,-85,100,100,-78,-81,,
28,2022-07-23-14:59:29,-87,-79,100,100,-86,-61,100,100,100,100,100,100,-88,-88,100,100,-73,100,100,100,100,100,100,100,-82,-74,,
29,2022-07-23-14:59:34,-81,-80,100,100,-79,-61,100,100,100,100,100,100,-88,-88,-93,100,-73,100,100,100,100,100,100,100,-82,-74,,
30,2022-07-23-14:59:39,-76,-79,100,100,-86,-61,100,100,100,100,100,100,-80,-86,-93,100,-73,100,100,100,100,100,100,100,-81,-73,,
31,2022-07-23-14:59:44,-77,-78,100,100,-79,-61,100,100,100,100,100,100,-88,-85,100,100,-72,100,100,100,100,100,100,100,-82,-74,,
32,2022-07-23-14:59:49,-76,-79,100,100,-85,-52,100,100,100,100,100,100,-80,-88,100,100,-72,100,100,100,100,100,100,100,-82,-81,,
