index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-23-16:07:57,-81,-90,100,100,-92,-84,100,100,100,100,100,-77,-74,-99,100,-59,100,100,100,100,-85,100,100,-95,-85
1,2022-07-23-16:08:02,-77,-75,100,100,100,-71,100,100,100,100,100,100,-64,100,100,-65,100,100,100,100,-80,100,100,100,-75
2,2022-07-23-16:08:07,-81,-75,100,100,-84,-80,100,100,100,100,100,-80,-77,100,100,-60,100,100,100,100,-80,100,100,-88,-76
3,2022-07-23-16:08:12,-73,-76,100,100,-78,-71,100,100,100,100,100,-73,-66,100,100,-65,100,100,100,100,-80,100,100,-84,-65
4,2022-07-23-16:08:17,-76,-76,100,100,-77,-71,100,100,100,100,100,-76,-65,100,100,-63,100,100,100,100,-80,100,100,-83,-76
5,2022-07-23-16:08:22,-75,-75,100,100,-78,-72,100,100,100,100,100,-77,-65,100,100,100,100,100,100,100,-80,100,100,-84,100
6,2022-07-23-16:08:27,-76,-75,100,100,-77,-72,100,100,100,100,100,-76,-65,100,100,-63,100,100,100,100,-81,100,100,-83,-67
7,2022-07-23-16:08:32,-84,100,100,100,-85,-80,100,100,100,100,100,-82,-76,100,100,-62,100,100,100,100,-80,100,100,-88,-76
8,2022-07-23-16:08:37,-76,-80,100,100,-80,-74,100,100,100,100,100,-73,-66,100,100,-67,100,100,100,100,-80,100,100,-84,-66
9,2022-07-23-16:08:42,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,100,-71,100,100,100,100,-80,100,100,100,-64
10,2022-07-23-16:08:47,-83,100,100,100,-78,-80,100,100,100,100,100,-83,-65,100,100,-61,100,100,100,100,100,100,100,-85,-74
11,2022-07-23-16:08:52,-73,-77,100,100,-76,-72,100,100,100,100,100,-75,-63,100,100,-60,100,100,100,100,-82,100,100,-82,-71
12,2022-07-23-16:08:57,-88,-76,100,100,-86,-71,100,100,100,100,100,-81,-76,100,100,-62,100,100,100,100,-81,100,100,-88,-76
13,2022-07-23-16:09:02,-89,100,100,100,-86,-81,100,100,100,100,100,100,-76,100,100,-61,100,100,100,100,100,100,100,-88,-76
14,2022-07-23-16:09:07,-76,-78,100,100,-75,-74,100,100,100,100,100,-74,-66,100,100,-65,100,100,100,100,-80,100,100,-82,-70
15,2022-07-23-16:09:12,-82,-92,100,100,-89,-72,100,100,100,100,100,-72,-66,100,100,-61,100,100,100,100,100,100,100,-91,-75
16,2022-07-23-16:09:17,-76,-77,100,100,-80,-72,100,100,100,100,100,-74,-64,100,100,-60,100,100,100,100,-80,100,100,-82,-64
17,2022-07-23-16:09:22,-75,100,100,100,-81,-72,100,100,100,100,100,100,-64,100,100,-60,100,100,100,100,-81,100,100,-86,-72
18,2022-07-23-16:09:27,-73,-77,100,100,-78,-72,100,100,100,100,100,-72,-65,100,100,-69,100,100,100,100,-82,100,100,-82,-64
19,2022-07-23-16:09:32,-83,-76,100,100,-76,-80,100,100,100,100,100,-82,-64,100,100,-60,100,100,100,100,-81,100,100,-82,-72
