index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-17-16:21:40,100,100,100,-58,-86,100,-90,-96,100,-76,-84,-89,100,100,-96,-89,100,-91,-88,-88,-83,100,-89,-69,100,100
1,2022-07-17-16:21:45,100,100,100,-65,100,100,-87,100,100,-85,-87,100,100,100,100,100,100,-89,100,-86,-88,100,100,-76,100,100
2,2022-07-17-16:21:50,100,100,100,-56,100,100,-88,-90,100,-70,-93,-83,100,100,-94,-88,100,-83,-92,-83,-80,100,-87,-62,100,100
3,2022-07-17-16:21:55,100,100,100,-59,100,100,-93,-90,100,-73,-86,-82,100,100,100,-88,100,-85,-89,-82,-93,100,-84,-59,100,100
4,2022-07-17-16:22:00,100,100,100,-64,100,100,-90,100,100,-84,-91,100,100,100,100,-95,100,-93,100,-80,100,100,-95,-63,100,100
5,2022-07-17-16:22:05,100,100,100,-59,100,100,-92,100,100,-73,100,-92,100,100,100,-86,100,-85,-90,-83,-93,100,100,-59,100,100
6,2022-07-17-16:22:10,100,100,100,-64,100,100,-89,100,100,-84,-92,100,100,100,100,-92,100,-90,-90,-82,100,100,-92,-63,100,100
7,2022-07-17-16:22:15,100,100,100,-56,100,100,-89,-91,100,-72,-88,-84,100,100,100,-84,100,-84,-97,-85,-80,100,-91,-56,100,100
8,2022-07-17-16:22:20,100,100,100,-58,-91,100,-89,-93,100,-81,-77,-89,100,100,100,-85,100,-84,-89,-80,-92,100,-84,-66,100,100
9,2022-07-17-16:22:25,100,100,100,100,100,100,-98,100,100,-79,100,-83,100,100,100,-86,100,-84,100,100,-80,100,100,-59,100,100
10,2022-07-17-16:22:30,100,100,100,-58,-90,100,100,-90,100,-72,-84,-89,100,100,-94,-84,100,-85,-92,-81,-79,100,-92,-57,100,100
11,2022-07-17-16:22:35,100,100,100,-64,100,100,-88,100,100,-84,-91,100,100,100,100,-93,100,-89,-89,-82,-86,100,-94,-63,100,100
12,2022-07-17-16:22:40,100,100,100,-57,100,100,-90,-92,100,-74,-91,-86,100,100,100,-83,100,-84,-93,-84,-79,100,100,-55,100,100
13,2022-07-17-16:22:45,100,100,100,-64,100,100,-90,100,100,-74,-93,100,100,100,100,-94,100,100,100,-83,-78,100,-90,-56,100,100
14,2022-07-17-16:22:50,100,100,100,-58,100,100,-89,-91,100,-73,-89,-85,100,100,100,-83,100,-84,-90,-84,-80,100,-91,-56,100,100
15,2022-07-17-16:22:55,100,100,100,-59,100,100,-92,-90,100,-73,-89,-91,100,100,100,-86,100,-85,-90,-83,-91,100,-83,-59,100,100
16,2022-07-17-16:23:00,100,100,100,-64,100,100,-88,100,100,-84,-91,-92,100,100,100,-92,100,-89,-91,-82,-95,100,-94,-63,100,100
17,2022-07-17-16:23:05,100,100,100,-57,100,100,-88,100,100,-84,100,100,100,100,100,100,100,-89,100,100,100,100,100,-63,100,100
18,2022-07-17-16:23:10,100,100,100,-63,100,100,-91,100,100,-83,-89,100,100,100,100,-91,100,-86,-92,-82,-90,100,-87,-62,100,100
